Date,Nifty 50 Open,Nifty 50 High,Nifty 50 Low,Nifty 50 Close,Nifty 50 Shares Traded,Nifty 50 Turnover (Rs. Cr),Nifty 50 P/E,Nifty 50 P/B,Nifty 50 Div Ratio,Bond Price,Bond Open,Bond High,Bond Low,Bond Change %,GOLD Traded,GOLD  Value (Lacs),OIL Traded ,Oil Value (Lacs),INR-USD Conversion
12-Feb-18,10916.15,10960.35,10884.15,10945.15,425753702,15505.96,26.89,3.56,1.06,7.5,7.489,7.5,7.489,0.0005,106,3221.8,155768,601907.44,64.289
14-Feb-18,10994.85,10998.5,10864,10908.15,481060019,17437.1,26.78,3.54,1.07,7.495,7.487,7.495,7.487,-0.0007,11774,357432.14,193741,733660.43,64.0357
15-Feb-18,10945,11013.8,10898.9,10932.05,519827703,16630.02,26.84,3.55,1.06,7.571,7.556,7.571,7.556,0.0101,131,3962.11,185470,719542.4,63.9017
16-Feb-18,10984.05,11000.8,10809.35,10831.35,486366602,15466.36,26.69,3.52,1.07,7.583,7.591,7.591,7.583,0.0016,9688,298097.4,173949,685012.84,64.3872
19-Feb-18,10866.85,10867.25,10670.65,10748.35,459038291,14584.84,26.49,3.49,1.08,#N/A,#N/A,#N/A,#N/A,#N/A,15,452.16,82573,332208.54,64.5157
20-Feb-18,10761.05,10805.2,10725.5,10740,461178937,14299.45,26.47,3.49,1.08,7.673,7.64,7.673,7.64,0.0119,62,1884.38,145760,586815.78,64.8749
21-Feb-18,10806.05,10806.35,10722.3,10765.5,425541321,16822.37,26.53,3.5,1.08,7.71,7.67,7.71,7.67,0.0048,8025,244493.93,129746,517337.79,64.9029
22-Feb-18,10725.3,10755.4,10705.05,10737.35,557979122,22925.17,26.77,3.49,1.08,7.745,7.78,7.78,7.745,0.0045,7470,227643.17,168365,679429.14,64.9635
23-Feb-18,10766.25,10866.7,10755.1,10857.85,398057793,16651.08,27.06,3.53,1.12,7.676,7.705,7.705,7.676,-0.0089,20,617.34,123106,503548.48,64.9
26-Feb-18,10899.05,10963.45,10893.5,10953.8,356566208,14133.8,27.28,3.56,1.11,7.693,7.687,7.693,7.687,0.0022,18,547.08,131943,545160.46,64.788
27-Feb-18,10986.55,11004.25,10905.4,10922.75,527268571,15593.48,27.14,3.55,1.11,7.667,7.697,7.697,7.667,-0.0034,48,1459.02,144607,597321.82,64.9217
28-Feb-18,10855.1,10903.25,10826.9,10861.4,700317465,22407.71,26.93,3.53,1.12,7.723,7.682,7.723,7.682,0.0073,8077,245309.23,198492,811446.39,65.2619
1-Mar-18,10850.7,10899.6,10808.55,10820,435135129,14332.56,26.83,3.52,1.18,7.744,7.744,7.744,7.744,0.0027,8133,245696.79,200840,801727.14,65.1559
5-Mar-18,10788.25,10788.5,10676.15,10714.6,410024455,14670.83,26.61,3.48,1.19,7.776,7.762,7.776,7.762,0.0041,6294,191720.52,163139,657979.39,65.0162
6-Mar-18,10779.95,10802.3,10570.6,10603.1,406858292,15993.73,26.24,3.45,1.2,7.778,7.773,7.778,7.773,0.0003,10101,308289.75,156517,637453.61,64.8423
7-Mar-18,10586.05,10600,10487.85,10501.4,462668017,16256.49,25.99,3.41,1.26,7.68,7.755,7.755,7.68,-0.0126,42,1276.85,218754,879480.39,64.8985
8-Mar-18,10566.05,10605.7,10476.45,10578,431537945,15677.66,26.18,3.44,1.25,7.663,7.655,7.663,7.655,-0.0022,7449,226948.19,153202,606803.35,65.0981
9-Mar-18,10610.6,10637.45,10548.4,10564.55,-,-,26.15,3.43,1.26,7.676,7.719,7.719,7.676,0.0017,74,2258.14,150201,596960.16,64.9499
12-Mar-18,10642.65,10759.3,10635.15,10747.65,412334540,14593.88,26.6,3.49,1.24,7.634,7.662,7.662,7.634,-0.0055,6679,202615.12,142465,568864.85,64.9602
13-Mar-18,10719.05,10816,10710.75,10772.05,534054740,28719.17,26.64,3.5,1.23,7.659,7.625,7.659,7.625,0.0033,10216,309859.22,199458,789593.6,64.8445
14-Mar-18,10734.45,10769.05,10685.6,10760,408496159,13529.98,26.61,3.5,1.23,7.679,7.674,7.679,7.674,0.0026,9200,280136.77,222932,879517.87,64.8429
15-Mar-18,10754.95,10775.95,10701.35,10716.05,349048310,12200.79,26.5,3.48,1.24,7.636,7.688,7.688,7.636,-0.0056,36,1088.82,152596,606471.86,65.0181
16-Mar-18,10700.75,10701.75,10541.45,10556.2,573959782,24020.57,26.08,3.43,1.26,7.558,7.628,7.628,7.558,-0.0102,90,2737.77,143602,576266.32,65.075
19-Mar-18,10578.45,10587.05,10425.1,10444.05,425237389,15021.17,25.78,3.39,1.27,7.608,7.585,7.613,7.542,0.0066,11084,335681.92,163139,659263.49,65.2205
20-Mar-18,10398.7,10507.45,10396.4,10478.15,384532030,14487.39,25.88,3.4,1.27,7.615,7.604,7.628,7.595,0.0009,9980,302217.51,176051,727555.67,65.2401
21-Mar-18,10536.2,10585.95,10488.8,10511.75,-,-,25.96,3.42,1.26,7.581,7.66,7.677,7.579,-0.0045,10825,328986.48,168459,709295.09,65.075
22-Mar-18,10522.9,10564.55,10461.5,10470.4,373226878,14718.89,25.85,3.4,1.27,7.56,7.581,7.615,7.548,-0.0028,238,7218.52,143386,605660.29,65.1698
23-Mar-18,10318.55,10380.9,10301.95,10357.6,490494903,18516.51,25.57,3.37,1.28,7.557,7.533,7.562,7.521,-0.0004,470,14522.26,158379,671049.38,65.0137
26-Mar-18,10351.95,10511.05,10324.45,10497.55,453075728,16800.79,25.92,3.41,1.27,7.623,7.577,7.63,7.574,0.0087,8939,276108.63,138342,588474.83,64.7068
